pair,i,sign,kz,wd,hour_ny,sweep_min,mss,t_mss,mss_in_hour,fvg,cls_60,depth_60,swept_60,ce_60,inval_60,target_60,h1_dir,h1_directional,race_ph,race_ext1,race_open,ret_before,ret_any,sweep_depth_atr
EURUSD,33,1,London,Tue,2,7,True,30.0,True,True,retrace_fail,11.229885057472279,True,True,True,False,False,False,fail,fail,target,True,True,0.09900990099001739
EURUSD,34,1,London,Tue,3,4,True,41.0,True,True,cont_no_retrace,0.13274336283184798,True,True,True,False,False,False,fail,fail,fail,True,True,4.051446945337721
EURUSD,35,1,London,Tue,4,0,True,13.0,True,True,retrace_cont,0.3265306122448024,False,True,True,False,False,False,neither,neither,target,True,True,0.943280771946396
EURUSD,39,-1,NY_AM,Tue,8,16,True,58.0,True,True,cont_no_retrace,0.28124999999994577,True,True,True,False,False,False,fail,fail,fail,True,True,1.0564102564102473
EURUSD,40,-1,NY_AM,Tue,9,10,True,9.0,False,True,cont_no_retrace,0.062043795620440025,False,False,False,False,False,False,neither,neither,target,False,False,1.3298534430837785
EURUSD,57,-1,London,Wed,2,6,True,18.0,True,True,retrace_fail,7.805555555554913,True,True,True,False,False,False,fail,fail,fail,True,True,0.31603408210690226
EURUSD,58,-1,London,Wed,3,6,True,41.0,True,True,cont_no_retrace,0.09448818897638553,False,True,True,False,False,False,neither,neither,neither,True,True,1.3792569659442413
EURUSD,63,1,NY_AM,Wed,8,14,True,24.0,True,True,cont_no_retrace,0.23456790123446636,False,False,False,True,True,False,target,neither,target,False,False,0.19839025451383854
EURUSD,63,-1,NY_AM,Wed,8,24,True,48.0,True,True,retrace_cont,0.6741573033709183,False,True,True,False,False,False,neither,neither,target,True,True,0.44898847074171705
EURUSD,65,1,NY_AM,Wed,10,0,True,26.0,True,True,cont_no_retrace,0.17985611510797342,False,True,False,False,False,False,neither,target,neither,True,True,1.1740041928721205
EURUSD,81,1,London,Thu,2,0,True,6.0,True,True,cont_no_retrace,0.273972602739651,True,True,True,False,True,False,fail,fail,target,True,True,0.061172472387487103
EURUSD,82,-1,London,Thu,3,2,True,40.0,True,True,cont_no_retrace,0.12727272727274194,True,True,True,False,False,False,fail,fail,fail,True,True,0.8303217276333609
EURUSD,87,1,NY_AM,Thu,8,15,True,23.0,True,True,retrace_fail,3.4140625000001275,True,True,True,False,False,False,fail,fail,fail,True,True,1.1230020847811735
EURUSD,88,1,NY_AM,Thu,9,0,True,14.0,True,True,cont_no_retrace,0.10526315789475442,True,True,True,False,False,False,fail,fail,target,True,True,0.21714778112886918
