hour,wd,target,directional,body_atr,target_2h,prev_hour,prev_2h,prev_session,prev_day,prev_hour_body_atr,prev_hour_swept,open_vs_day_open,open_vs_midnight,open_vs_session_mid,agree_hour_session,prev_hour_closed_outside,pair
3,Tue,-1.0,True,4.630225080386048,-1.0,-1.0,-1.0,-1.0,-1.0,1.8585209003216356,1,1.0,1.0,1.0,-1.0,-1,EURUSD
9,Tue,1.0,False,0.6745633406946796,-1.0,1.0,1.0,-1.0,-1.0,1.1853041557920845,0,1.0,1.0,1.0,0.0,0,EURUSD
3,Wed,1.0,False,1.0170278637770553,1.0,1.0,1.0,1.0,-1.0,1.10990712074299,-1,-1.0,-1.0,-1.0,1.0,1,EURUSD
9,Wed,1.0,True,0.728089887640433,-1.0,1.0,1.0,1.0,-1.0,0.17258426966285537,0,-1.0,-1.0,-1.0,1.0,0,EURUSD
3,Thu,1.0,True,0.777434993389206,1.0,1.0,-1.0,-1.0,1.0,0.11106214191264305,1,-1.0,-1.0,1.0,0.0,0,EURUSD
9,Thu,-1.0,False,0.6721240844464015,-1.0,-1.0,-1.0,-1.0,1.0,2.445497630331822,1,1.0,1.0,1.0,-1.0,-1,EURUSD
3,Tue,1.0,False,0.3677733921523711,1.0,-1.0,-1.0,1.0,1.0,0.14488042721147637,0,-1.0,-1.0,1.0,0.0,0,EURUSD
9,Tue,1.0,False,1.1983892617449416,1.0,1.0,-1.0,-1.0,1.0,0.15463087248323212,1,1.0,1.0,1.0,0.0,0,EURUSD
3,Wed,-1.0,True,1.176131449985592,-1.0,1.0,-1.0,1.0,1.0,0.0691842029403199,-1,-1.0,-1.0,-1.0,1.0,0,EURUSD
9,Wed,1.0,True,1.3492333901191442,1.0,1.0,1.0,-1.0,1.0,0.6405451448040397,0,-1.0,-1.0,-1.0,0.0,0,EURUSD
3,Thu,-1.0,True,0.9904548006738347,1.0,1.0,-1.0,-1.0,1.0,0.350364963503701,1,-1.0,1.0,1.0,0.0,0,EURUSD
9,Thu,-1.0,True,3.2872340425532114,-1.0,1.0,1.0,1.0,1.0,3.5053191489362003,0,-1.0,-1.0,-1.0,1.0,1,EURUSD
3,Tue,-1.0,False,0.06072106261865616,-1.0,1.0,-1.0,-1.0,-1.0,1.009487666034021,0,-1.0,-1.0,-1.0,0.0,0,EURUSD
9,Tue,1.0,True,1.4245614035087457,-1.0,-1.0,1.0,1.0,-1.0,0.7017543859648303,-1,-1.0,-1.0,-1.0,0.0,0,EURUSD
3,Wed,1.0,True,0.866883116883169,1.0,1.0,1.0,1.0,-1.0,1.7337662337662298,-1,-1.0,-1.0,-1.0,1.0,1,EURUSD
9,Wed,1.0,False,0.24507658643331215,-1.0,1.0,1.0,1.0,-1.0,1.5098468271334649,0,-1.0,-1.0,-1.0,1.0,0,EURUSD
3,Thu,1.0,False,0.4288324873096406,1.0,1.0,1.0,-1.0,1.0,0.8138071065989056,-1,-1.0,-1.0,-1.0,0.0,1,EURUSD
9,Thu,1.0,False,0.05577504066929361,-1.0,1.0,-1.0,1.0,1.0,0.022310016267742212,0,-1.0,-1.0,1.0,1.0,0,EURUSD
3,Tue,-1.0,False,0.9889519259480114,-1.0,1.0,1.0,1.0,1.0,0.07166318303970637,-1,-1.0,-1.0,-1.0,1.0,0,EURUSD
9,Tue,-1.0,True,1.6527575138604929,1.0,1.0,-1.0,-1.0,1.0,0.43419900787866467,0,1.0,1.0,1.0,0.0,0,EURUSD
3,Wed,-1.0,False,0.241813602015089,1.0,-1.0,-1.0,1.0,1.0,1.517380352644858,0,1.0,1.0,1.0,0.0,0,EURUSD
9,Wed,1.0,True,1.3938411669368764,1.0,-1.0,1.0,-1.0,1.0,0.11021069692058755,0,1.0,1.0,1.0,-1.0,0,EURUSD
3,Thu,-1.0,False,0.7004405286344033,-1.0,-1.0,1.0,-1.0,1.0,0.046255506607939215,1,-1.0,-1.0,-1.0,-1.0,0,EURUSD
9,Thu,-1.0,False,1.0222588623247897,-1.0,1.0,-1.0,-1.0,1.0,0.6529266281945989,1,1.0,1.0,1.0,0.0,0,EURUSD
3,Tue,-1.0,True,2.8553054662380415,-1.0,1.0,1.0,-1.0,-1.0,0.3227126571177449,0,1.0,1.0,1.0,0.0,0,EURUSD
9,Tue,-1.0,False,0.21192052980139428,1.0,1.0,1.0,-1.0,-1.0,1.6423841059603277,-1,-1.0,-1.0,-1.0,0.0,1,EURUSD
3,Wed,1.0,False,0.47123893805309297,1.0,1.0,1.0,1.0,1.0,0.6902654867256219,-1,-1.0,-1.0,-1.0,1.0,1,EURUSD
9,Wed,1.0,False,0.008216364258869438,1.0,1.0,1.0,1.0,1.0,1.0188291680930601,-1,-1.0,-1.0,-1.0,1.0,1,EURUSD
3,Thu,1.0,True,0.6101249178172539,1.0,-1.0,-1.0,-1.0,1.0,0.6048652202498296,1,-1.0,1.0,1.0,-1.0,-1,EURUSD
9,Thu,-1.0,True,1.8169491525424362,-1.0,-1.0,-1.0,-1.0,1.0,1.7446327683615728,1,1.0,1.0,1.0,-1.0,-1,EURUSD
3,Tue,-1.0,False,0.3921331316187509,-1.0,-1.0,-1.0,1.0,-1.0,1.0819969742813922,1,1.0,1.0,1.0,0.0,-1,EURUSD
9,Tue,-1.0,True,0.9211837093465735,-1.0,-1.0,-1.0,-1.0,-1.0,0.7031936712570467,1,1.0,1.0,1.0,-1.0,-1,EURUSD
3,Wed,-1.0,False,0.3132911392405579,-1.0,1.0,1.0,-1.0,-1.0,1.5094936708860658,-1,-1.0,-1.0,-1.0,0.0,1,EURUSD
9,Wed,-1.0,False,0.34285714285711527,-1.0,-1.0,-1.0,1.0,-1.0,0.1176972281449646,0,-1.0,1.0,1.0,0.0,0,EURUSD
3,Thu,1.0,True,1.5956800539992848,1.0,-1.0,-1.0,1.0,-1.0,0.5345933175834144,0,-1.0,-1.0,-1.0,0.0,0,EURUSD
9,Thu,-1.0,True,0.7144983626078165,-1.0,1.0,1.0,1.0,-1.0,1.457576659720136,-1,-1.0,-1.0,-1.0,1.0,1,EURUSD
3,Tue,1.0,True,1.3524508169389868,1.0,-1.0,-1.0,1.0,1.0,0.5681893964656702,-1,-1.0,1.0,1.0,0.0,0,EURUSD
9,Tue,-1.0,False,0.5366614664585786,-1.0,1.0,1.0,1.0,1.0,0.1684867394695763,0,-1.0,-1.0,-1.0,1.0,0,EURUSD
3,Wed,1.0,True,0.7926605504586928,1.0,1.0,-1.0,-1.0,1.0,0.03914373088678062,1,1.0,1.0,1.0,0.0,0,EURUSD
9,Wed,-1.0,True,0.7677329624478099,-1.0,-1.0,-1.0,-1.0,1.0,0.8066759388039916,1,1.0,1.0,1.0,-1.0,-1,EURUSD
3,Thu,-1.0,False,0.1453287197232161,-1.0,1.0,1.0,1.0,-1.0,0.6435986159168803,0,-1.0,-1.0,-1.0,1.0,0,EURUSD
9,Thu,-1.0,True,1.1172296338347323,-1.0,-1.0,-1.0,-1.0,-1.0,0.9877944933295377,1,1.0,1.0,1.0,-1.0,-1,EURUSD
3,Tue,-1.0,False,0.9700130378095003,-1.0,-1.0,-1.0,-1.0,-1.0,0.1564537157758454,1,1.0,-1.0,1.0,-1.0,0,EURUSD
